Website Domain,Categories,Category Count,Primary Category,Investors,Investor List,Calculated Investor Count,Investors Count,Investor Density,Amount,Amount Normalized,Funding Size,Found At,Year,Month
trafigura.com,[],0,Unknown,Unknown,[],0,0.0,1900000000.0,$1.9b,1900000000,Large,2024-03-14 01:00:00+01:00,2024,3
zenobe.com,[],0,Unknown,"avivainvestors.com, lloydsbankinggroup.com, santander.co.uk, swip.com, cibc.com, societegenerale.com, natwest.us, rabobank.com, mufg.jp","['avivainvestors.com', 'lloydsbankinggroup.com', 'santander.co.uk', 'swip.com', 'cibc.com', 'societegenerale.com', 'natwest.us', 'rabobank.com', 'mufg.jp']",9,9.0,52270000.0,$522.7 million,522700000,Large,2024-03-20 01:00:00+01:00,2024,3
zenobe.com,[],1,private_equity,Unknown,[],0,0.0,53671000.0,£41.7m,53671000,Medium,2024-03-20 01:00:00+01:00,2024,3
canva.com,[],0,Unknown,stackcapitalgroup.com,['stackcapitalgroup.com'],1,1.0,4000000.0,US$8 million,8000000,Small,2024-03-20 01:00:00+01:00,2024,3
fidelity.com,[],0,Unknown,chevychasetrust.com,['chevychasetrust.com'],1,1.0,980000.0,$1.96 million,1960000,Small,2024-03-20 01:00:00+01:00,2024,3
swtchenergy.com,[],2,series_b,"alantra.com, blueearth.capital","['alantra.com', 'blueearth.capital']",2,2.0,9066666.666666666,$27.2 Million,27200000,Medium,2024-03-20 01:00:00+01:00,2024,3
carnow.com,[],1,debt_financing,runwaygrowth.com,['runwaygrowth.com'],1,1.0,20000000.0,$40 million,40000000,Medium,2024-03-20 01:00:00+01:00,2024,3
databricks.com,[],2,series_i,Unknown,[],0,0.0,685000000.0,$685 million,685000000,Large,2024-03-20 01:00:00+01:00,2024,3
anthropic.com,[],0,Unknown,damachotelsandresorts.com,['damachotelsandresorts.com'],1,1.0,25000000.0,$50mn,50000000,Medium,2024-03-20 01:00:00+01:00,2024,3
ey.com,[],0,Unknown,Unknown,[],0,0.0,6865000.0,AU$10.7M,6865000,Small,2024-03-20 01:00:00+01:00,2024,3
openpipe.ai,[],2,seed,Unknown,[],0,0.0,6700000.0,$6.7 million,6700000,Small,2024-03-26 01:00:00+01:00,2024,3
canva.com,[],0,Unknown,surocap.com,['surocap.com'],1,1.0,1000000000.0,$2 billion,2000000000,Large,2024-03-20 01:00:00+01:00,2024,3
syntetica.co,[],2,seed,Unknown,[],0,0.0,4581000.0,Û4.2 million,4581000,Small,2024-03-20 01:00:00+01:00,2024,3
zf.com,[],0,Unknown,eib.org,['eib.org'],1,1.0,232347500.0,Û425 million,464695000,Large,2024-03-20 01:00:00+01:00,2024,3
sparelabs.com,[],0,Unknown,Unknown,[],0,0.0,10000000.0,$10M,10000000,Medium,2024-03-20 01:00:00+01:00,2024,3
e-zinc.ca,[],2,series_a2,Unknown,[],0,0.0,31000000.0,USD 31M,31000000,Medium,2024-03-20 01:00:00+01:00,2024,3
biointelligence.com,[],0,Unknown,Unknown,[],0,0.0,5000000.0,$5M,5000000,Small,2024-03-20 01:00:00+01:00,2024,3
claritisoftware.com,[],1,private_equity,vistaragrowth.com,['vistaragrowth.com'],1,1.0,9069500.0,$24.6 million CAD,18139000,Medium,2024-03-20 01:00:00+01:00,2024,3
heylist.com,[],1,private_equity,accelia.vc,['accelia.vc'],1,1.0,800000.0,$1.6M,1600000,Small,2024-03-20 01:00:00+01:00,2024,3
qohash.com,[],1,private_equity,"edc.ca, desjardinscapital.com, fondsftq.com","['edc.ca', 'desjardinscapital.com', 'fondsftq.com']",3,3.0,4350000.0,$17.4 million,17400000,Medium,2024-03-20 01:00:00+01:00,2024,3
topicflow.com,[],2,seed,Unknown,[],0,0.0,1823000.0,CAD$2.5M,1823000,Small,2024-03-20 01:00:00+01:00,2024,3
claritisoftware.com,[],1,private_equity,cibc.com,['cibc.com'],1,1.0,5000000.0,$10 million,10000000,Medium,2024-03-20 01:00:00+01:00,2024,3
biointelligence.com,[],2,seed,Unknown,[],0,0.0,3653000.0,$5 million CAD,3653000,Small,2024-03-20 01:00:00+01:00,2024,3
gaiia.com,[],2,series_a,inovia.vc,['inovia.vc'],1,1.0,6600000.0,US$13.2M,13200000,Medium,2024-03-20 01:00:00+01:00,2024,3
sinnstudio.com,[],2,private_equity,Unknown,[],0,0.0,2500000.0,$2.5M,2500000,Small,2024-03-20 01:00:00+01:00,2024,3
topicflow.com,[],0,Unknown,Unknown,[],0,0.0,2500000.0,$2.5m,2500000,Small,2024-03-20 01:00:00+01:00,2024,3
